,,Month- Year,Oil Price,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous
,,Jan-21,54.79,143.4,187.5,173.4,154,154.8,147,187.8,159.5,113.8,164.5,156.1,164.3,159.6,184.6,157.5,152.4,156.8,150.9,153.9,162.5,147.5,155.1,163.5,156.2,155.9
,,Feb-21,61.22,142.8,184,168,154.4,163,147.8,149.7,158.3,111.8,165,160,165.8,154.7,186.5,159.1,153.9,158.4,154.4,154.8,164.3,150.2,157,163.6,155.2,157.2
,,Mar-21,64.73,142.5,189.4,163.2,154.5,168.2,150.5,141,159.2,111.7,164,160.6,166.4,154.5,186.1,159.6,154.4,158.9,156,154.8,164.6,151.3,157.8,163.8,153.1,157.3
,,Apr-21,63.4,142.7,195.5,163.4,155,175.2,160.6,135.1,161.1,112.2,164.4,161.9,166.8,155.6,186.8,160.7,155.1,159.9,156,155.5,165.3,151.7,158.6,164.1,154.6,158
,,May-21,66.95,145.1,198.5,168.6,155.8,184.4,162.3,138.4,165.1,114.3,169.7,164.6,169.8,158.7,189.6,165.3,160.6,164.5,161.7,158.8,169.1,153.2,160,167.6,159.3,161.1
,,Jun-21,71.98,145.6,200.1,179.3,156.1,190.4,158.6,144.7,165.5,114.6,170,165.5,171.7,160.5,189.1,165.3,159.9,164.6,162.1,159.2,169.7,154.2,160.4,166.8,159.4,161.5
,,Jul-21,73.54,145.1,204.5,180.4,157.1,188.7,157.7,152.8,163.6,113.9,169.7,166.2,171,161.7,189.7,166,161.1,165.3,162.5,160.3,170.4,157.1,160.7,167.2,160.4,162.8
,,Aug-21,69.8,144.9,202.3,176.5,157.5,190.9,155.7,153.9,162.8,115.2,169.8,167.6,171.9,161.8,190.2,167,162.6,166.3,163.1,160.9,171.1,157.7,161.1,167.5,160.3,163.3
,,Sep-21,73.13,145.4,202.1,172,158,195.5,152.7,151.4,163.9,119.3,170.1,168.3,172.8,162.1,190.5,167.7,163.6,167.1,163.7,161.3,171.9,157.8,162.7,168.5,160.2,163.8
,,Oct-21,82.11,146.1,202.5,170.1,158.4,198.8,152.6,170.4,165.2,121.6,170.6,168.8,173.6,165.5,191.2,168.9,164.8,168.3,165.5,162,172.5,159.5,163.2,169,161.1,164.7
,,Nov-21,80.64,146.9,199.8,171.5,159.1,198.4,153.2,183.9,165.4,122.1,170.8,169.1,174.3,167.5,191.4,170.4,166,169.8,165.3,162.9,173.4,158.9,163.8,169.3,162.4,165.2
,,Dec-21,73.3,147.4,197,176.5,159.8,195.8,152,172.3,164.5,120.6,171.7,169.7,175.1,165.8,190.8,171.8,167.3,171.2,165.6,163.9,174,160.1,164.5,169.7,162.8,166
,,Jan-22,84.67,148.3,196.9,178,160.5,192.6,151.2,159.2,164,119.3,173.3,169.8,175.8,164.1,190.7,173.2,169.3,172.7,165.8,164.9,174.7,160.8,164.9,169.9,163.2,166.6
,,Feb-22,94.07,148.8,198.1,175.5,160.7,192.6,151.4,155.2,163.9,118.1,175.4,170.5,176.3,163.9,191.5,174.1,171,173.7,167.4,165.7,175.3,161.2,165.5,170.3,164.5,167.3
,,Mar-22,112.87,150.2,208,167.9,162,203.1,155.9,155.8,164.2,118.1,178.7,171.2,177.4,166.6,192.3,175.4,173.2,175.1,168.9,166.5,176,162,166.6,170.6,167.4,168.3
,,Apr-22,102.97,151.8,209.7,164.5,163.8,207.4,169.7,153.6,165.1,118.2,182.9,172.4,178.9,168.6,192.8,177.5,175.1,177.1,173.3,167.7,177,166.2,167.2,170.9,169,170.2
,,May-22,109.51,152.9,214.7,161.4,164.6,209.9,168,160.4,165,118.9,186.6,173.2,180.4,170.8,192.9,179.3,177.2,179,175.3,168.9,177.7,167.1,167.6,171.8,168.5,170.9
,,Jun-22,116.01,153.8,217.2,169.6,165.4,208.1,165.8,167.3,164.6,119.1,188.9,174.2,181.9,172.4,192.9,180.7,178.7,180.4,176.7,170.3,178.2,165.5,168,172.6,169.5,171
,,Jul-22,105.49,155.2,210.8,174.3,166.3,202.2,169.6,168.6,164.4,119.2,191.8,174.5,183.1,172.5,193.2,182,180.3,181.7,179.6,171.3,178.8,166.3,168.6,174.7,169.7,171.8
,,Aug-22,97.4,159.5,204.1,168.3,167.9,198.1,169.2,173.1,167.1,120.2,195.6,174.8,184,173.9,193.7,183.2,181.7,183,179.1,172.3,179.4,166.6,169.3,175.7,171.1,172.6
,,Sep-22,90.71,162.9,206.7,169,169.5,194.1,164.1,176.9,169,120.8,199.1,175.4,184.8,175.5,194.5,184.7,183.3,184.5,179.7,173.6,180.2,166.9,170,176.2,170.8,173.1
